video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"xp_JHjy00-I","Now United - Dana Dana (Official Music Video)","2020-05-11T15:00:09Z","UColnnUYyz7CWjhzpF1kASnw","NOW UNITED",People & Blogs,"20.12.05","Now United|Nowunited|New united|one united|now united episode|the now united show|bailey may|now united bailey may|summer in the city|now united members|now united show|we are now united|nowunited philippines|now united any|now united sina|josh beauchamp|noah urrea|now united|mame|diarra|فرقة now united|ناو يونايتد|dana dana|dana","1407806","347157","3203","28990","https://i.ytimg.com/vi/xp_JHjy00-I/default.jpg","False","False","Now United Presents: Dana Dana#NowUnitedDanaDanaFollow NOW UNITED for more updates:Instagram: http://www.instagram.com/nowunitedFacebook: http://www.facebook.com/NowUnitedTwitter: http://www.twitter.com/nowunitedmusicNOW UNITED's official website:https://www.nowunited.com/Credits:Produced & Mixed by R3habVocal Production by Gannin ArnoldMastered by Michelle ManciniSongwriters - Ali Bouali (BUMA), Fadil El Ghoul (AMRA), Memru Renjaan (BUMA), Gannin Arnold (ASCAP)Published by Reservoir Media Music obo Ganologiks & itself (ASCAP)Choreography by Kyle Hanagami https://www.youtube.com/user/kylehanagamiDirected and Edited by:  Alex GudinoStyling by Tanya Alvarez"
"7rsb1ymRaaE","Leonardo e Zé Felipe | #LivePaieFilho #EspecialDiaDasMães","2020-05-11T01:20:55Z","UC-kCNs2KVMx0WN-tfysYTIw","Leonardo",Music,"20.12.05","[none]","5082082","159267","2868","907","https://i.ytimg.com/vi/7rsb1ymRaaE/default.jpg","False","False","LINEA APRESENTA: #LivePaieFilho#Leonardo #ZéFelipe #LiveAcompanhe a live do Leonardo e Zé Felipe - Live Pai & Filho #NaCasaDaMamae #FiqueEmCasa Um presente de pai e filho para vocês no dia das mães, com um repertório escolhido com muito amor. Cheio de supressas e emoções.APOIO:PICPAYSUPER FRANGORANCHEIROORAL SINMARJO SPORTS TNT INBRASUL TALISMÃ MUSICINCREVA-SE NO CANAL: bit.ly/LeonardoCantorOficialSiga Leonardo nas redes sociais!fb.com/leonardocantoroficialInstagram: @leonardoTwitter: @leonardocantor_www.leonardo.art.brContato: Talismã Music (11) 5054.7000"
"H_-Yhq4ydS4","Zezé Di Camargo & Luciano [Live In House] - 10/05 #FiqueEmCasa e Cante #Comigo","2020-05-11T01:58:47Z","UC5Cq2h-kY1KvkYgoncMrC3A","Zezé Di Camargo & Luciano",Music,"20.12.05","zeze di camargo|zeze di camargo e luciano|live zeze|live zeze di camargo e luciano|live zcl|ao vivo zcl|live in house|live talentos|zezé|zezedicamargo|zezedicamargoeluciano","2966241","84772","2835","1638","https://i.ytimg.com/vi/H_-Yhq4ydS4/default.jpg","False","False","Descrição:#ZCLBrahmaLive  #DiaDasMãesBrahmaLive#Fiqueemcasa #ZCLBrahmaLive  #DiaDasMãesBrahmaLivePara comprar cerveja sem sair de casa: https://cerveja.com.vc/Continue suas doações através do aplicativo AME ou no site https://www.amedigital.com/doacoes/ INSCREVA-SE NO NOSSO CANAL: https://bit.ly/2yqVSnZZezé Di Camargo e Luciano nas redes sociais:https://www.instagram.com/zezedicamargoeluciano/https://www.facebook.com/zezedicamargoeluciano📱Contato para shows: zezedicamargoeluciano@livetalentos.com.br👇🏾 Confira os lançamentos no Youtube e Apps de Músicahttps://fanlink.to/bUYh"
"WyiQL5eibFc","ELES CHEGARAM!! OS DOIS NOVOS CONTRATADOS DA LOUD FREE FIRE!!","2020-05-10T22:01:11Z","UC7iwNp4GUynlGXvK-6KD0Rw","LOUD",Gaming,"20.12.05","free fire|mobile|playhard|crusher|loud","2863135","653021","3750","37978","https://i.ytimg.com/vi/WyiQL5eibFc/default.jpg","False","False","SIGAM ELES NO YOUTUBE:@LOUD JORDAN @LOUD LZINN SIGAM ELES NO INSTAGRAM:https://www.instagram.com/jordanxp22/https://www.instagram.com/lzinnxl_/Roupas da LOUD: http://loud.ggJogue conosco: https://www.discord.gg/loud● Faça barulho conosco:Instagram: https://www.instagram.com/loudgg/Twitter: https://twitter.com/loudggFacebook:  https://www.facebook.com/loud--------------------------------------------------------------------------Business email: contact@loud.gg"
"L_RWwtvmi_g","ESPECIAL DIA DAS MÃES - Zeca Pagodinho #ZecaBrahmaLive #DiadasMãesBrahmaLive","2020-05-10T18:24:34Z","UCCKRUVah2xcFvjQnAwUXWlw","Zeca Pagodinho",People & Blogs,"20.12.05","Zeca Pagodinho|Live|Ao Vivo|Dia das Mães|Brahma Live|Brahma","3360068","107323","1799","1596","https://i.ytimg.com/vi/L_RWwtvmi_g/default.jpg","False","False","Continue suas doações através do aplicativo AME ou no site https://www.amedigital.com/doacoes/ Ouça: https://open.spotify.com/artist/3qZ2n5keOAat1SoF6bHwmb?si=MhyiIo0pRSSmfiuwSjPOZwSiga: https://twitter.com/zecapagodinhoVisite: http://zecapagodinho.com.br/site/#ZecaBrahmaLive #DiadasMãesBrahmaLivePara comprar sua cerveja sem sair de casa: https://bit.ly/CervejaComVc_ZecaPagodinho ESTA LIVE É DESTINADA EXCLUSIVAMENTE A MAIORES DE 18 ANOS"
"9eiQKGTHID8","#LiveLeveIntimista | Com Ivete","2020-05-11T00:02:39Z","UC4FK6Ki675LB-rkbD8O7ayg","Ivete Sangalo",Music,"20.12.05","ivete|sangalo|live|música|axé|entretenimento|alegria","2521809","81390","1517","1358","https://i.ytimg.com/vi/9eiQKGTHID8/default.jpg","False","False","Ivete Sangalo apresenta Live Leve diretamente da sua casa. A apresentação terá um tom mais intimista com seus clássicos, passando por outros grandes nomes da música, e com participação dos cantores Jão e Vitão. Live Leve também será uma plataforma para doações para diversas instituições. #LiveLeveIntimista"
"f8A2EghrtR8","Primeiro teste: valendo!","2020-05-10T22:00:22Z","UCFjrDmEnxrG5TRGVO0TPHLA","Desimpedidos",Entertainment,"20.12.05","vai pra cima fred|série do fred|fred e falcão|falcão 12|série original desimpedidos|fred futsal|magnus futsal|time magnus|fred no magnus|fred jogador profissional|youtube originals","1944222","278166","1217","3760","https://i.ytimg.com/vi/f8A2EghrtR8/default.jpg","False","False","Nosso jogador se prepara para seu primeiro jogo amistoso e inicia uma rotina em Sorocaba. Mas nem tudo na vida é treino, então também tem hora de dar uma escapada pra night. Só que o dia seguinte cobra, meu parceiro, e o nosso craque vai aprender isso do jeito difícil, enquanto se prepara para o primeiro jogo amistoso."
"lG1caZrXNyc","#LiveDoDaniel | #FicaemCasa Cante #Comigo","2020-05-10T23:13:17Z","UCZ9yRhwZxdiz6kF09quMZHQ","Daniel Oficial",Music,"20.12.05","[none]","2191909","71220","921","526","https://i.ytimg.com/vi/lG1caZrXNyc/default.jpg","False","False","CONTEÚDO DESTINADO PARA MAIORES DE 18 ANOSQUIZ Brahma https://www.brahma.com.br/quiz/sertanejo/danielLIVE EM HOMENAGEM AO DIA DAS MÃES, COM O CANTOR DANIEL, ARRECADARÁ DOAÇÕES PARA FUNDO SOCIAL E HOSPITAISFundo Social e Hospital Santa Therezinha, de Brotas, e o Hospital Amaral Carvalho e Santa Casa, de Jauh, serão beneficiados. Arrecadação será destinada a famílias em situação de vulnerabilidade econômica, além de pacientes em tratamentos.No dia 10 de maio, a partir das 15h45, o cantor Daniel fará uma live em homenagem ao dia das mães. Música boa de diferentes momentos da carreira do cantor, desde a época que formava dupla com João Paulo, até os sucessos mais recentes farão parte da celebração, que terá transmissão ao vivo em seu canal, aqui no Youtube, e também na TV Band, Rádio Band FM e Nativa FM. E como o próprio cantor já declarou, será uma ocasião especial para as mães, mas também para os que precisam nesse momento difícil. Antes, no dia da transmissão e após a live será possível fazer doações em dinheiro para os hospitais Santa Therezinha, Santa Casa de Jauh e Amaral Carvalho pelo aplicativo da Ame Digital (é necessário baixar o aplicativo, cadastrar o cartão de crédito e escanear o QR CODE que aparecerá na tela durante a transmissão). O Fundo Social de Brotas também poderá ser beneficiado recebendo doações, principalmente, de cestas básicas e itens de higiene e limpeza. Doações poderão ser feitas e entregues no seguinte endereço: Rua José Martinelli, 25 Centro / Brotas SP. CEP 17.380-000. As doações serão revertidas, a partir das instituições, a pacientes e serão utilizadas no incremento de tratamentos dos centros hospitalares, além de beneficiar também famílias ativas no cadastra único, que vivem em situação de vulnerabilidade econômica em Brotas. “É gratificante saber que tenho uma missão incrível, uma missão tão bonita, e por meio da minha voz passar coisas boas como positividade, amor, carinho, felicidade. Vai ser um momento único pra mim, porque sempre tive essa consciência, mas nesse momento que estamos vivendo será mais intenso ainda. Espero estar sendo útil, um agente de paz, um agente de felicidade, e ela [a música] é nosso elo condutor”, declara Daniel. Assessoria de imprensa:Mauren Favero – mauren.favero@opusentretenimento.com Guilherme Oliveira – guilherme@agenciataga.com.br Cátia Tedesco – catia@agenciacigana.com"
"mkw3jkXHjEc","Live Marília Mendonça - #TodosOsCantosDeCasa","2020-05-10T06:03:07Z","UCwfEOn0O1DWcyTgzVVu28ig","Marília Mendonça",Music,"20.12.05","[none]","17349322","725648","11005","2346","https://i.ytimg.com/vi/mkw3jkXHjEc/default.jpg","False","False","A Rainha da Sofrência vai dar uma força para sua quarentena. Um show exclusivo pra você direto da casa da Marília. Sábado - 09/05 a partir das 20h30 aqui. CLIQUE EM DEFINIR LEMBRETE!"
"tUyDphnm4GA","DEI UMA CASA NOVA PRA MINHA MÃE!","2020-05-10T19:24:49Z","UCbYkVYfzcTj9gkTPxbHBWwQ","Sthefane Matos",People & Blogs,"20.12.05","[none]","1540069","309123","1847","7122","https://i.ytimg.com/vi/tUyDphnm4GA/default.jpg","False","False","Me sigam no insta pra ver a reação dela com os outros presentes https://instagram.com/sthefanematos?igshid=10hzk1jt1yot5"
