video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"s4aY3VAIViw","BB Ki Vines- | Lockdown Queen |","2020-05-10T08:45:11Z","UCqwUrj10mAEsqezcItqvwEw","BB Ki Vines",Entertainment,"20.12.05","mothers day|bhuvan bam|bb ki vines|funny|humourous|hilarious|comedy|bollywood","11098003","1597695","21769","38674","https://i.ytimg.com/vi/s4aY3VAIViw/default.jpg","False","False","Mother's Day Special. Mom is confronting BB and Babloo because they won't help her in household work.This Mother’s Day, show her some love. Solve all her complains and troubles, gift her BLU light blocking lenses.Check out here: https://bit.ly/2WiWIwbMivi Headphones: https://mivi.shop/R25F3QFacebook► https://www.facebook.com/BBkiVines/Instagram► bhuvan.bam22Snapchat► bbkv22Twitter►https://twitter.com/Bhuvan_Bam and https://twitter.com/BBkv22.This is an all original work of BB Ki Vines.#MothersDay #BBKiVines #BhuvanBam"
"yomgbBEpErE","Tere Bina | Salman Khan | Jacqueline Fernandez | Ajay Bhatia","2020-05-12T06:30:11Z","UCJJ72ZXSDbom7oVkvIkp9Tw","Salman Khan",Music,"20.12.05","Tere Bina|Tere Bina Song|Tere Bina Video Song|Tere Bina Full Song|Salman Khan|Tere Bina Teaser|Salman Khan Youtube Channel|Pyaar Karona Full Song|Salman Khan New Song|Coronavirus|Lockdown|Salman Khan and Jacqueline Fernandez|Salman Jacqueline|Salman Jacqueline Song|Salman Khan Songs|Salman Khan Movies|Salman Khan Films|Salman Khan Waluscha Interview|Tere Bina Salman Khan|Tere Bina Lyrics|Tere Bina Audio","3341406","552985","45507","32949","https://i.ytimg.com/vi/yomgbBEpErE/default.jpg","False","False","Amidst the lockdown blues comes a fresh romantic track of the season in the form of, 'Tere Bina'. Listen to my new romantic track featuring Jacqueline Fernandez.#TereBina #SalmanKhan #JacquelineFernandez 🎧 Song Credits:Singer : Salman KhanMusic Composed by :  Ajay BhatiaLyrics : Shabbir AhmedMusic Arranged by : Aditya DevLead Guitar : RhythmsawDirected By : Salman KhanAssociate Director : Abhiraj MinawalaEditor : Ritesh Soni Choreographer & DOP: Saajan Singh Post Studio: Mantra PixelsOnline: Devendra Prajapati RKMusic Partner - BelieveFollow me on:Facebook - https://www.facebook.com/BeingSalmanKhan/Twitter - https://twitter.com/BeingSalmanKhanInstagram - https://www.instagram.com/beingsalmankhan/"
"l5kLa9JQoBM","Full Song : Keh Gayi Sorry | Jassie Gill | Shehnaaz Gill | Avvy |Nirmaan | New Punjabi Song 2020","2020-05-12T04:31:03Z","UCMe2N3X8arRlHCEO6WreFAA","Jassie Gill",Music,"20.12.05","jassie gill|jassi gill|jassie|gill|jassi|punjab|punjabi|jassi gill melody|romantic song|jassi gill songs|jassie gill songs|Punjabi singer jassi Gill|new song|latest song|romantic song 2020|new jassi gill songs|romantic songs jassi gill|best song 2020|hit song 2020|shehnaaz gill|shehnaaz bigg boss|keh gayi sorry|latest punjabi song 2020|new punjabi song 2020|jassi gill channel|jassi gill live|bigg boss|himanshi khurana|salman khan|Tere bina","1830777","284540","6845","80258","https://i.ytimg.com/vi/l5kLa9JQoBM/default.jpg","False","False","Another Original Song for you guys with Shehnaaz Gill. Hope you all like this one :) #JassieGill #JassiGill #KehGayiSorry #ShehnaazGill♪ Available on ♪Tiktok : https://vm.tiktok.com/3HuBSy/Spotify : https://open.spotify.com/track/5L2HNMln36TXixNcFpY8f1?si=5f06f-wMR2ikVbN5vSAMrwAmazon Music : https://music.amazon.in/albums/B08839YBGG?trackAsin=B0883BL2ZT&ref=dm_sh_LAM0Nk80WtG1IWxwD6lAWBdD7Resso : https://m.resso.app/Beuncw/Apple Music : https://music.apple.com/in/album/keh-gayi-sorry-feat-shehnaz-gill/1511738394?i=1511738621Gaana : https://gaana.com/album/keh-gayi-sorryWynk : https://wynk.in/u/s2sPIsOQKJioSaavn : https://www.saavn.com/s/song/punjabi/Keh-gayi-Sorry/Keh-gayi-Sorry/FFsJdSxSfFo?referrer=svn_source=share&svn_medium=com.whatsapp&utm_source=share&utm_medium=com.whatsappHungama : http://www.hungama.com/song/keh-gayi-sorry/53494268/Song - Keh Gayi Sorry Singer - Jassie GillFeat - Shehnaaz Gill Music - Avvy Sra Lyrics - Nirmaan Master & Mixing - Avvy SraGuitar & Strokes - Shomu SealPresentation - EYP CreationsDigitally Managed By - EYP DigitalLyrical Video by - Aman Kalsi Graphics by - Aman RajowalSpecial Thanks - Arvindr KhairaDigital Distribution - BelievePhotoshoot - SC CreationsSpecial Thanks - Manish Sharma Stay Connected with me ! ► Subscribe to my Channel : - https://www.youtube.com/c/JassieGillonline► Instagram: https://www.instagram.com/jassie.gill/► Facebook: https://www.facebook.com/jassigillonline► Twitter: https://twitter.com/jassiegill► Snapchat - https://www.snapchat.com/add/GILLJASSI1"
"5fEYN7gdJtI","Tere Bina Teaser | Salman Khan | Jacqueline Fernandez | Ajay Bhatia","2020-05-10T06:34:46Z","UCJJ72ZXSDbom7oVkvIkp9Tw","Salman Khan",Music,"20.12.05","Salman Khan|Tere Bina|Tere Bina Song|Tere Bina Teaser|Salman Khan Youtube Channel|Pyaar Karona Full Song|Salman Khan New Song|Coronavirus|Lockdown|Tere Bina Full Song|Salman Khan and Jacqueline Fernandez|Salman Jacqueline|Salman Jacqueline Song|Salman Khan Songs|Salman Khan Movies|Salman Khan Films|Salman Khan Waluscha Interview","7237891","291606","19999","11350","https://i.ytimg.com/vi/5fEYN7gdJtI/default.jpg","False","False","Life is incomplete without that special someone, who lights up every moment of life. With them every step is an opportunity and everyday is a new beginning. Watch the teaser of my upcoming song, 'Tere Bina'.#TereBina #TereBinaTeaser #SalmanKhan #JacquelineFernandez🎧 Song Credits:Singer : Salman KhanMusic Composed by :  Ajay BhatiaLyrics : Shabbir AhmedMusic Arranged by : Aditya DevLead Guitar : RhythmsawDirected By : Salman KhanAssociate Director : Abhiraj MinawalaEditor : Ritesh Soni Choreographer & DOP: Saajan Singh Post Studio: Mantra PixelsOnline: Devendra Prajapati RKFollow me on:Facebook - https://www.facebook.com/BeingSalmanKhan/Twitter - https://twitter.com/BeingSalmanKhanInstagram - https://www.instagram.com/beingsalmankhan/"
"vVYkInqy2jE","Lockdown Extension or Exit Plan? | Modi’s Video Conference With CM's | V6 Telugu News","2020-05-11T19:25:26Z","UCDCMjD1XIAsCZsYHNMGVcog","V6 News Telugu",News & Politics,"20.12.05","pm modi Live|india top news|breaking news|lockdown 3.0|pm modi cms meeting Live|coronavirus|covid 19|coronavirus india|coronavirus lockdown Live|india lockdown|covid 19 lockdown|coronavirus updates|V6 News Channel|Telugu News Channel Live|Telugu News Live|Telangana News Live|V6 Live Telugu News|V6 News Live Updates|telugu news|v6 varthalu|V6 News live Telugu|Telugu Live TV Channels","765950","2632","529","15","https://i.ytimg.com/vi/vVYkInqy2jE/default.jpg","False","False","PM Modi will interact with all the chief ministers of the states on Monday, a week before the end of the coronavirus lockdown 3.0. The Prime Minister will likely discuss about a plan to exit the lockdown, which is expected to end on May 17. #PMModi #LockdownV6 News Telugu Live TV Channel brings the best of the Telugu V6 News Live TV Channel owned by VIL Media Pvt Ltd. V6 News is a 24x7 Live Telugu News Channel Dedicated To Report News Across Telangana, Andhra Pradesh And Also Other Parts Of The World Through Telugu Live Reports. ఆన్ లైన్ షాపింగ్ల రాధhttps://youtu.be/br6iamZ9j3oకుండకొనవొయ్న చంద్రవ్వhttps://youtu.be/ijHMJT9HS_4News content that serves the interests of Telangana and Andhra Pradesh viewers in the most receptive formats. V6 News channel Also Airs programs like Teenmaar News, Chandravva & Padma Satires etc, Theertham, Muchata (Celeb Interviews) Cinema Talkies, City Nazaria(Prog Describes The Most Happening &Visiting Places In Hyderabad),Mana Palle(Describes Villages And Specialities), Also V6 News Channel Is Famous For 'Bonalu Songs', 'Bathukamma Songs' And Other Seasonal And Folk Related Songs. ► Subscribe to V6 News Telugu : Youtube at http://goo.gl/t2pFrq► Like us on Facebook : http://www.facebook.com/V6News.tv► Follow us on Instagram : https://www.instagram.com/v6newstelugu/► Follow us on Twitter : https://twitter.com/V6News► Visit Website : http://www.v6velugu.com/► Join Us On Telegram : https://t.me/V6TeluguNews#V6NewsLive #TelanganaNewsLive"
"mPP0vJLhak0","மதுப்பிரியர்கள் பாவங்கள் - Gopi & Sudhakar | Parithabangal","2020-05-10T12:30:14Z","UCueYcgdqos0_PzNOq81zAFg","Parithabangal",Comedy,"20.12.05","parithabangal|parithabangal latest episode|parithabangal channel|parithabangal gosu|parithabangal new video|tamil creators|Kudikaran|kudikaran comedy|wine shop|wine shop comedy|drinkers comedy|types of drunks|types of people|types of drinkers|alcoholic|drinking|drinkers|types of drunk|types of drinkers tamil|types of kudimagan|people after drinking|types of drunk people|videos|alcohol|kudimagan|drunk|drunk people|alcoholism|gobi|gosu|gopi sudhakar","1367376","108965","2220","4689","https://i.ytimg.com/vi/mPP0vJLhak0/default.jpg","False","False","Parithabangal are presenting a New video on PAAVANGAL  மதுப்பிரியர்கள்  பாவங்கள்! For more such YouTube Funs subscribe us @ PARITHABANGAL--------------------------------------------SUTHANTHIRA PARAVAI - https://www.youtube.com/channel/UC4vgd34lbz4rMekxNfmxOIgIYANTHIRA PARAVAI   - https://www.youtube.com/channel/UCFM0bU8Iro7J5eqdrDVGv-QKOIYAKKA            - https://www.youtube.com/channel/UC-k9mGZOPnS6y0gJ2_zKsag*********************************************************************Starring :-GO-SU https://www.instagram.com/gopi_aravindh/?hl=enhttps://www.instagram.com/duniya_sudhakar/?hl=enMohan PVR        - https://www.instagram.com/mohan_pvr/?hl=enBalu Bose        - https://www.instagram.com/balubose/?hl=enDravid selvam - https://www.instagram.com/dravidselvam_6/?hl=enSubash rollins -  https://www.instagram.com/subash_editor/?hl=en------------------------------------------CAMERAProvoke Kannan       - https://www.instagram.com/provoke_kannan/?hl=en-------------------------------------------EDITSubash Rollins         - https://www.instagram.com/subash_editor/?hl=en--------------------------------------------SFXKarthikeya Karuppasamy - https://www.instagram.com/karthi_keya.3k/--------------------------------------------Graphic DesignerProvoke Kannan       - https://www.instagram.com/provoke_kannan/?hl=en**********************************************************************Follow Us On Social MediaPARITHABANGAL Facebook    -  https://www.facebook.com/ParithabangalProductions/ Instagram   -  https://www.instagram.com/parithabangaloffl/?hl=enTwitter     -  https://twitter.com/Parithabangal_APP         -  https://play.google.com/store/apps/details?id=com.parithabangal.gosu&hl=en_INWEBSITE     -  https://fmelo.in/parithabangalYoutube     -  https://www.youtube.com/channel/UCueYcgdqos0_PzNOq81zAFg   Tiktok      -  https://m.tiktok.com/h5/share/usr/6612497838306607109.html?language=en&sec_uid=MS4wLjABAAAAbEUBLZsaArZuwAND1BHRlsEwlvT99sq801I_1rtXZdZOrFvkY0QNheoUwbNB7ucj&u_code=d2gmllm8adb6ik&timestamp=1581505618Helo        -  http://m.helo-app.com/al/rZwdQTpSY**********************************************************************In Association with Divo :Website   - http://web.divo.in/Instagram - https://www.instagram.com/divomovies/Facebook  - http://www.facebook.com/divomoviesTwitter   - https://twitter.com/divomovies**********************************************************************"
"lNLC6eKSnpw","TSP's Baap Baap Hota Hai | Baap aur Corona","2020-05-11T08:30:11Z","UCNyeSfUfffmJXwA2_tmNG9A","The Screen Patti",Entertainment,"20.12.05","the viral fever|tvf|comedy|corona|pandemic|lockdown|stay home|virus|coronavirus|work from home|corona conversation|bollywood celebs|the screen patti|tsp|tsp new video|TSP's Baap Baap Ho","815360","66757","1910","1588","https://i.ytimg.com/vi/lNLC6eKSnpw/default.jpg","False","False","The lockdown has been such that Abhinav is away from his father; while his father is stuck in the village, you know! This has gotten Abhinav a chance to do whatever he wants. But will his father let that happen? Or does he have a new trick up his sleeve? Find out all of that in this new episode of #BaapBaapHotaHai Channel Producer: Shreyansh PandeyWritten by: Harish PeddintiDirected by: Abhishek KumarCreative Head: Abhinav AnandChannel Manager: Ishan VermaShot By: Anant Singh, Abhinav Anand, Sarita Jha (Abhinav's mother), Kreetika Sharma, Harish Peddinti Edited by: Arunava ChaudhuriPost Production Supervisor: Garvit Janshali Graphics: Ankit Bairagee, Madhuri RathiBrand Manager: Ankit Raj BachchanThumbnail and Creatives: Darshit GadaTrailer and Creatives: Ankit ChauhanHead of Release: Bhuvneshwari AiyerCast: Abhinav Anand, Anant Singh 'Bhaatu', Kreetika Sharma, Harish Peddinti, Abhishek KumarFollow #TheScreenPatti:Instagram: https://www.instagram.com/thescreenpattiFacebook: https://www.facebook.com/thscreenpattiTikTok: https://vm.tiktok.com/u7fW8K/ Twitter: https://www.twitter.com/thescreenpatti For media-related inquiries, drop us an email tspmedia@theviralfever.com Watch more awesome shows on TVFPlay - http://www.tvfplay.comiPhone: https://www.tvfplay.com/app-storeAndroid: https://www.tvfplay.com/play-storeThis Channel is owned, operated and managed by, Contagious Online Media Network Private Limited."
"23BkmjgbF3M","Thug Amma | Re-post Video | Karikku","2020-05-10T12:38:57Z","UC2bNrKQbJLphxNCd6BSnTkA","Karikku",Comedy,"20.12.05","karikku|malayalam|webseries|plustwoclass|funny|comedy|therapara|tiktok|trending","1242518","105351","2139","3621","https://i.ytimg.com/vi/23BkmjgbF3M/default.jpg","False","False","#karikku #mothersdayHappy Mother's Day"
"5UuVy6wYx4E","TikTok vs YouTube - Ab Bass Karo!","2020-05-09T10:52:52Z","UCtgGOdTlM-NdJ9rPKIYN8UQ","Slayy Point",Comedy,"20.12.05","tiktok vs youtube|youtube tik tok|tik tok|slayy point|comedy vines|tik tok roast|hindi video","2382866","274136","8850","12600","https://i.ytimg.com/vi/5UuVy6wYx4E/default.jpg","False","False","TikTokers vs Youtubers ka drama.. ye lo banadi video. Thanks. Bye.Watch Our Videos - Maggi Will Never Be The Samehttps://www.youtube.com/watch?v=eBlK58wf-0ACrying On TikTok Needs To Stophttps://www.youtube.com/watch?v=3OW3aTKPZcw&t=266sWhat Is TikTok?https://www.youtube.com/watch?v=N3R_023J2pIYOU CAN TALK TO US!! Follow us on - Facebook - https://www.facebook.com/SlayyPointTwitter - https://twitter.com/slayypointInstagram - https://www.instagram.com/slayypoint/E-mail for BUSINESS ENQUIRES ONLY- slayypointofficial@gmail.comGautami's Instagram and twitter- @gautamikawaleAbhyudaya's Instagram- @abhyudaya_mohan Twitter- @AbhyudayaMohan"
"TPdOFqm-V4Q","Quarantine with Murai Maaman - Part 2 | #StayHome Create #Withme | Araathi | Tamada Media","2020-05-11T12:00:12Z","UCCMUnWvJyTEUunnygpTGfow","Araathi",Entertainment,"20.12.05","best 2019 videos in tamilFunny tamil videos|Trending tamil videos|Tamil Youtube Stars|comedy series in tamil|comedy sketch videos in tamilbest|araathi latest videos|araathi poornima videos|lock|muraimaman|Poornima Ravi|aarathi","550818","35914","581","2320","https://i.ytimg.com/vi/TPdOFqm-V4Q/default.jpg","False","False","Tamada Media, a company that believes in boundless innovation are using our resources and are fighting this deadly Corona pandemic through distribution of grocery kits, hygiene and preventive gear for the doctors, nurses and healthcare workers. You can donate here : https://donatekart.com/Tamada/Tamada-CoronaSupport#araathi #poornimaravi #tamadamedia #wirallySubscribe to Wirally Tamil: http://bit.ly/WirallyTamilYTThe sequel video showing quarantine days with Murai Maaman. Please do subscribe to Araathi for more video updates.Watch Part-1 here: https://youtu.be/33wPGC273S4Powered By Tamada MediaCast:Poornima RaviMadhanBalaji Sha Usha NandhiniConcept and directionPoornima RaviEditingCharanCinematographyKishorePublicity DesignVimal SelvarajMusicArun GautamGunasekaran BalasubramaniamViki JoeFollow Me OnFacebook: https://www.facebook.com/Araathi-4605...Instagram: https://instagram.com/poornima_ravii?igshid=y8ogyyvwikayWirally TamilFacebook:https://m.facebook.com/WirallyTamil/Instagram: https://instagram.com/wirallytamil?ig."
