video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"cqyvnaTo2e8","BROMA ÉPICA A MIS HERMANOS GEMELOS | Kim Shantal","2020-05-10T20:00:05Z","UC9Q41VodjbT0zV0P56BndSQ","Kimberly Shantal",People & Blogs,"20.12.05","[none]","1536828","110142","2418","2309","https://i.ytimg.com/vi/cqyvnaTo2e8/default.jpg","False","False","Gracias por todo tu amor y apoyo , te adoro! SUSCRÍBETE, ACTIVA LA CAMPANITA🔔 DALE MANITA ARRIBA 👍🏼Y COMPARTE CON TODOS TUS AMIGOS 🔥CORREO: MarcasKimS@fenixteam.com.mxSÍGUEME EN TODAS MIS REDES 🥰❤️Instagram: https://www.instagram.com/invites/contact/?i=160buf4wmuttd&utm_content=42esf6❤️Youtube: https://www.youtube.com/channel/UC9Q41VodjbT0zV0P56BndSQ❤️Youtube 2: https://www.youtube.com/channel/UCuxn14PUUrxDVJ2hqdU8uSQ❤️Facebook: https://www.facebook.com/kimshantalmx/❤️Twitter:  @kimshantalll❤️TikTok: @Kimberly Shantal"
"Ts_pOxNJtVg","BYE ME FUI - Bad Bunny | Las Que No Iban A Salir","2020-05-10T16:08:09Z","UCmBA_wu8xGg1OfOkfW13Q0Q","Bad Bunny",Music,"20.12.05","Bad|Bunny|Bad Bunny|YHLQMDLG|Las Que Iban A Salir|Bye Me Fui","3836989","202172","1892","3614","https://i.ytimg.com/vi/Ts_pOxNJtVg/default.jpg","False","False","#LasQueNoIbanASalir #ByeMeFuiDOWNLOAD Las Que No Iban A Salir: https://rimas.io/LasQueNoIbanASalirMERCH: https://YHLQMDLG.com-Click para suscribirte: http://bit.ly/badbunnyprFollow Me / Sigueme en: Instagram: https://www.instagram.com/badbunnypr/Facebook: https://www.facebook.com/BadBunnyOfficial/Twitter: https://twitter.com/sanbenitobooking@rimasmusic.com#BadBunny © 2020 Rimas Entertainment"
"K3lNeUsBHNU","MI MAMÁ NO SE ESPERABA ESTO 😱","2020-05-11T18:21:17Z","UC2IDkGu61j_mwNJOc54Sb5w","BERTH OH!",Entertainment,"20.12.05","aqui|van|las|etiquetas","1121293","93423","1730","2476","https://i.ytimg.com/vi/K3lNeUsBHNU/default.jpg","False","False","Hola RicoSuaves! Gracias por estar aquí!SÍGANME EN MIS REDES.FACEBOOKhttps://www.facebook.com/Juan-Bertheau-Berth-325621130970329/?ref=hlTWITTERhttps://twitter.com/JuanBertheauINSTAGRAMhttps://www.instagram.com/juanbertheau/"
"iRzZGQEPwY4","Meet Loba – Apex Legends Character Trailer","2020-05-11T17:00:30Z","UC0ZV6M2THA81QT9hrVWJG3A","Apex Legends",Gaming,"20.12.05","Apex Legends|Apex|Apex Legends characters|Fortune’s Favor|Updated Map|Updated Kings Canyon|Season Quests|The Broken Ghost|Apex Legends Quest|Apex Legends Battle Pass|Season 5 Battle Pass|Apex Legends new season|Apex Legends game|Respawn Apex Legends|Battle Royale game|Battle Royale|Battle Royale shooter|Apex Games|squad play|multiplayer shooter|ps4|Xbox|PC|Origin|Respawn Entertainment|Electronic Arts|Titanfall 2|EA|Respawn|fun battle royale","3817982","163571","2322","19097","https://i.ytimg.com/vi/iRzZGQEPwY4/default.jpg","False","False","The best thief in the Outlands, Loba uses her Jump Drive bracelet to teleport where she wants and take what she pleases. http://x.ea.com/63058When she was nine years old, Loba Andrade witnessed her parents’ murders at the hands of the simulacrum Revenant. Left to her own devices, Loba used her natural knack for thievery to claw her way into a high society life. With Revenant's reemergence at the Apex Games, she’s determined to use her unique skills to claim her revenge. And whatever loot she can get her hands on. Loba has a keen eye for valuables -- so keen she can see top-tier loot through walls. She uses her Jump Drive bracelet to teleport out of dangerous situations or enter lucrative ones. And she can even pull valuable loot to her Black Market Boutique, allowing her squad to load up on all the best gear. Ready to steal the show?Learn more about Loba’s story: https://www.youtube.com/watch?v=RH3Rp80rbkQ Apex Legends™ is a free-to-play battle royale game where legendary characters battle for glory, fame, and fortune on the fringes of the Frontier. Play for free now on Xbox One, PlayStation 4, and Origin for PC: http://x.ea.com/63044.  Check out our YouTube channel:Follow us on Twitter: https://twitter.com/playapex.Follow us on Instagram: https://www.instagram.com/playapex/. #PlayApex #ApexSeason5 #ApexSeasonFive #ApexLegends"
"UA3SKiWcg1k","Vecinos, Capítulo 6: El invernadero de Magda y Arturo | T 8 | Distrito Comedia","2020-05-11T18:13:59Z","UCms2rIXwmMvIpDUU69X0PoQ","Distrito Comedia",Entertainment,"20.12.05","Televisa|Las Estrellas|Telenovelas|Televisa Espectáculos|Programas Televisa|Telenovelas Televisa|Noche de buenas|barra de comedia|Vecinos|Serie Vecinos|Mayrín Villanueva|Octavio Ocaña|Macaria|Manuel ‘Flaco’ Ibañez|Temporada 8|Capítulo 6|El invernadero de Magda y Arturo|Silvita le da una lección a Magda|Magda pone plantas en el pasillo|vecinos 2020|el nuevo versa 2020","335805","4673","189","251","https://i.ytimg.com/vi/UA3SKiWcg1k/default.jpg","False","False","Mira aquí el capítulo 06 completo ➡️ https://app.blim.com/Cs9x/ytdescvecinosDurante una junta vecinal Germán le pide a Doña Magda que quite del pasillo todas las plantas que estorban, pero ésta se niega a quitarlas y manda a Arturo a colocar  más en el pasillo.  #VecinosSitio Oficial: http://bit.ly/2w5k2xPFacebook: http://bit.ly/2uDZ5xeTwitter: http://bit.ly/2vW3hsbInstagram: http://bit.ly/2vD4P7J"
"ZAKE8_UdrcA","24 Horas IGNORANDO a AMARA *Se Pone a LLORAR* - La Familia de Ami CAP #2","2020-05-10T21:15:01Z","UCp4Fk7Xy_wYq8sFKcKNrQCA","Go Ami Go!",People & Blogs,"20.12.05","Ami Rodriguez|amara que linda|aladdin|aeme|familia de ami y amara|youtubers colombianos|youtubers divertidos|youtubers chistosos|youtubers randoms|familia youtuber|ignorando a ami|ignorando a amara|24 horas aeme|aeme ignorando|xd|juegos en familia|familia pijama|jaja|con toda","1410232","135428","5187","9382","https://i.ytimg.com/vi/ZAKE8_UdrcA/default.jpg","False","False","¡¡¡SIGUENOS TERRÍCOLA!!!LA MAMÁInstagram: https://www.instagram.com/bailarina77_a3/Twitter: https://twitter.com/angelmensajero5AMARA QUE LINDAYoutube: https://www.youtube.com/channel/UChq_qmwRxTMgmggitRTiIEATik Tok: AmaraquelindarawrTwitter: https://twitter.com/QueAmaraInstagram: https://www.instagram.com/amara.aa/ALADDINTik Tok: AladdinchispinchisSHOVANNYInstagram: https://www.instagram.com/soyshovanny/AMIInstagram: https://instagram.com/amirodriguezzTik Tok: amirodriguezzTwitter: https://twitter.com/AmiRodrigueZZCanal de Juguetes: https://www.youtube.com/juguetesvsamiCanal Principal: https://youtube.com/AmiRodrigueZZFacebook: https://facebook.com/AmiRodrigueZZZContacto: gooamigoo@gmail.com"
"R82Pk0VQWOQ","CANCIÓN CON YANDEL - Yandel x Bad Bunny | Las Que No Iban A Salir","2020-05-10T16:08:05Z","UCmBA_wu8xGg1OfOkfW13Q0Q","Bad Bunny",Music,"20.12.05","Bad|Bunny|Bad Bunny|YHLQMDLG|Las Que No Iban A Salir|Yandel|Cancion Con Yandel","3480337","156272","1299","3104","https://i.ytimg.com/vi/R82Pk0VQWOQ/default.jpg","False","False","#LasQueNoIbanASalir #CancionConYandelDOWNLOAD Las Que No Iban A Salir: https://rimas.io/LasQueNoIbanASalirMERCH: https://YHLQMDLG.com-Click para suscribirte: http://bit.ly/badbunnyprFollow Me / Sigueme en: Instagram: https://www.instagram.com/badbunnypr/Facebook: https://www.facebook.com/BadBunnyOfficial/Twitter: https://twitter.com/sanbenitobooking@rimasmusic.com#BadBunny © 2020 Rimas Entertainment"
"h3zvkm0BffM","Las Mamás de Antes ( Para las mamis en su día ) -- La india Yuridia","2020-05-10T13:00:30Z","UCkhZPP4i6y6KNnILMSA6QsQ","La India Yuridia",Comedy,"20.12.05","la india|yuridia|uridia|la india yuridia|comediante|mexicana|standup|comediantes de monterrey|standupera|feminismo|machismo|parejas|comedian|couple|mexico|dia de las madres|madres|mothers day|festejo|antes|chancla|voladora|celebrando|especial|rigoberto","1533751","32240","1367","833","https://i.ytimg.com/vi/h3zvkm0BffM/default.jpg","False","False","Como ya se ha hecho tradición, celebrando a todas las mamis en su día un video especial. Dedicado para todas las mamacitas lindas expertas en la chancla voladora y en el uso del cinturón piteado. Con cariño extra en estos tiempos tan complicados. ¡ÁNIMO JEFECITAS!#DiaDeLasMadres #LaIndiaYuridia #Standup"
"eaJYwzZRMvA","¡LE REGALO $100,000 PESOS a MI MAMÁ por el DÍA DE LAS MADRES! *sentimental*","2020-05-11T00:06:48Z","UCXH1p4gixwXwrUGSx-WvLNQ","Yair17",Gaming,"20.12.05","mama de yair|le regalo dinero a mi mama|dinero regalo|dia de las madres|yair17|donato|watzap|boosniper|josue07|antronixg|hgamesyt","1710517","311810","4567","20366","https://i.ytimg.com/vi/eaJYwzZRMvA/default.jpg","False","False","¡Disfruten a sus mamás siempre y díganles lo mucho que las quieren!"
"2l0mjy73pSY","CANCIÓN CON YANDEL","2020-05-10T16:08:24Z","UCpymPuTyFqzPfDvefhk3t9A","Various Artists - Topic",Music,"20.12.05","Yandel|Bad Bunny|Las Que No Iban A Salir|CANCIÓN CON YANDEL","901012","18612","1152","431","https://i.ytimg.com/vi/2l0mjy73pSY/default.jpg","False","False","Provided to YouTube by Rimas Entertainment LLCCANCIÓN CON YANDEL · Yandel · Bad BunnyLas Que No Iban A Salir℗ 2020 Rimas EntertainmentReleased on: 2020-05-10Auto-generated by YouTube."
